marked	0	21	1	1
by	0	21	1	1
relative	0	21	1	1
liberalism	0	21	1	1
but	0	21	1	1
it	0	21	1	1
<Germany>	1	21	1.0	1.546875
became	0	21	1	1
more	0	21	1	1
conservative	0	21	1	1
afterwards	0	21	1	1
Broad	0	22	1	1
reforms	0	22	1	1
and	0	22	1	1
the	0	22	1	1
Kulturkampf	0	22	1	1
marked	0	22	1	1
his	0	22	1	1
period	0	22	1	1
in	0	22	1	1
the	0	22	1	1
office	0	22	1	1
Late	0	23	1	1
in	0	23	1	1
Bismarck	0	23	1	1
's	0	23	1	1
chancellorship	0	23	1	1
and	0	23	1	1
in	0	23	1	1
spite	0	23	1	1
of	0	23	1	1
his	0	23	1	1
personal	0	23	1	1
opposition	0	23	1	1
Germany	0	23	1	1
<Germany>	1	23	1.0	1.546875
became	0	23	1	1
involved	0	23	1	1
in	0	23	1	1
colonialism	0	23	1	1
Claiming	0	24	1	1
much	0	24	1	1
of	0	24	1	1
the	0	24	1	1
leftover	0	24	1	1
territory	0	24	1	1
that	0	24	1	1
was	0	24	1	1
yet	0	24	1	1
unclaimed	0	24	1	1
in	0	24	1	1
the	0	24	1	1
Scramble	0	24	1	1
for	0	24	1	1
Africa	0	24	1	1
it	0	24	1	1
<Germany>	1	24	1.0	1.546875
managed	0	24	1	1
to	0	24	1	1
build	0	24	1	1
the	0	24	1	1
third	0	24	1	1
largest	0	24	1	1
colonial	0	24	1	1
empire	0	24	1	1
after	0	24	1	1
the	0	24	1	1
British	0	24	1	1
and	0	24	1	1
the	0	24	1	1
French	0	24	1	1
ones	0	24	1	1
As	0	25	1	1
a	0	25	1	1
colonial	0	25	1	1
state	0	25	1	1
it	0	25	1	1
<Germany>	1	25	1.0	1.546875
sometimes	0	25	1	1
clashed	0	25	1	1
with	0	25	1	1
other	0	25	1	1
European	0	25	1	1
powers	0	25	1	1
especially	0	25	1	1
the	0	25	1	1
British	0	25	1	1
Empire	0	25	1	1
Germany	0	26	1	1
<Germany>	1	26	1.0	1.546875
became	0	26	1	1
a	0	26	1	1
great	0	26	1	1
power	0	26	1	1
boasting	0	26	1	1
a	0	26	1	1
rapidly	0	26	1	1
developing	0	26	1	1
rail	0	26	1	1
network	0	26	1	1
the	0	26	1	1
world	0	26	1	1
's	0	26	1	1
strongest	0	26	1	1
army	0	26	1	1
and	0	26	1	1
a	0	26	1	1
fast	0	26	1	1
growing	0	26	1	1
industrial	0	26	1	1
base	0	26	1	1
In	0	27	1	1
less	0	27	1	1
than	0	27	1	1
a	0	27	1	1
decade	0	27	1	1
its	0	27	1	1
navy	0	27	1	1
became	0	27	1	1
second	0	27	1	1
only	0	27	1	1
to	0	27	1	1
Britain	0	27	1	1
's	0	27	1	1
Royal	0	27	1	1
Navy	0	27	1	1
After	0	28	1	1
the	0	28	1	1
removal	0	28	1	1
of	0	28	1	1
Otto	0	28	1	1
von	0	28	1	1
Bismarck	0	28	1	1
by	0	28	1	1
Wilhelm	0	28	1	1
II	0	28	1	1
in	0	28	1	1
1890	0	28	1	1
the	0	28	1	1
Empire	0	28	1	1
embarked	0	28	1	1
on	0	28	1	1
Weltpolitik	0	28	1	1
a	0	28	1	1
bellicose	0	28	1	1
new	0	28	1	1
course	0	28	1	1
that	0	28	1	1
ultimately	0	28	1	1
contributed	0	28	1	1
to	0	28	1	1
the	0	28	1	1
outbreak	0	28	1	1
of	0	28	1	1
World	0	28	1	1
War	0	28	1	1
I.	0	28	1	1
In	0	29	1	1
addition	0	29	1	1
Bismarck	0	29	1	1
's	0	29	1	1
successors	0	29	1	1
were	0	29	1	1
incapable	0	29	1	1
of	0	29	1	1
maintaining	0	29	1	1
their	0	29	1	1
predecessor	0	29	1	1
's	0	29	1	1
complex	0	29	1	1
shifting	0	29	1	1
and	0	29	1	1
overlapping	0	29	1	1
alliances	0	29	1	1
which	0	29	1	1
had	0	29	1	1
kept	0	29	1	1
Germany	0	29	1	1
<Germany>	1	29	1.0	1.546875
from	0	29	1	1
being	0	29	1	1
diplomatically	0	29	1	1
isolated	0	29	1	1
This	0	30	1	1
period	0	30	1	1
was	0	30	1	1
